OMRÅDE;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;80 år;Ugift;2021K1;1512
Hele landet;81 år;Gift/separeret;2021K1;16926
Hele landet;81 år;Ugift;2021K1;1362
Hele landet;82 år;Gift/separeret;2021K1;15126
Hele landet;82 år;Ugift;2021K1;1238
Hele landet;83 år;Gift/separeret;2021K1;12679
Hele landet;83 år;Ugift;2021K1;1090
Hele landet;84 år;Gift/separeret;2021K1;10581
Hele landet;84 år;Ugift;2021K1;928
Hele landet;85 år;Gift/separeret;2021K1;8304
Hele landet;85 år;Ugift;2021K1;816
Hele landet;86 år;Gift/separeret;2021K1;6646
Hele landet;86 år;Ugift;2021K1;687
Hele landet;87 år;Gift/separeret;2021K1;5247
Hele landet;87 år;Ugift;2021K1;612
Hele landet;88 år;Gift/separeret;2021K1;4036
Hele landet;88 år;Ugift;2021K1;516
Hele landet;89 år;Gift/separeret;2021K1;3137
Hele landet;89 år;Ugift;2021K1;474
Hele landet;90 år;Gift/separeret;2021K1;2287
Hele landet;90 år;Ugift;2021K1;401
Hele landet;91 år;Gift/separeret;2021K1;1665
Hele landet;91 år;Ugift;2021K1;313
Hele landet;92 år;Gift/separeret;2021K1;1221
Hele landet;92 år;Ugift;2021K1;272
Hele landet;93 år;Gift/separeret;2021K1;815
Hele landet;93 år;Ugift;2021K1;207
Hele landet;94 år;Gift/separeret;2021K1;580
Hele landet;94 år;Ugift;2021K1;157
Hele landet;95 år;Gift/separeret;2021K1;340
Hele landet;95 år;Ugift;2021K1;144
Hele landet;96 år;Gift/separeret;2021K1;198
Hele landet;96 år;Ugift;2021K1;101
Hele landet;97 år;Gift/separeret;2021K1;116
Hele landet;97 år;Ugift;2021K1;57
Hele landet;98 år;Gift/separeret;2021K1;59
Hele landet;98 år;Ugift;2021K1;38
Hele landet;99 år;Gift/separeret;2021K1;26
Hele landet;99 år;Ugift;2021K1;45
Hele landet;100 år;Gift/separeret;2021K1;19
Hele landet;100 år;Ugift;2021K1;27
Hele landet;101 år;Gift/separeret;2021K1;12
Hele landet;101 år;Ugift;2021K1;6
Hele landet;102 år;Gift/separeret;2021K1;9
Hele landet;102 år;Ugift;2021K1;6
Hele landet;103 år;Gift/separeret;2021K1;0
Hele landet;103 år;Ugift;2021K1;3
Hele landet;104 år;Gift/separeret;2021K1;1
Hele landet;104 år;Ugift;2021K1;2
Hele landet;105 år;Gift/separeret;2021K1;0
Hele landet;105 år;Ugift;2021K1;2
Hele landet;106 år;Gift/separeret;2021K1;0
Hele landet;106 år;Ugift;2021K1;1
Hele landet;107 år;Gift/separeret;2021K1;0
Hele landet;107 år;Ugift;2021K1;0
Hele landet;108 år;Gift/separeret;2021K1;0
Hele landet;108 år;Ugift;2021K1;1
Hele landet;109 år;Gift/separeret;2021K1;0
Hele landet;109 år;Ugift;2021K1;0
Hele landet;110 år;Gift/separeret;2021K1;0
Hele landet;110 år;Ugift;2021K1;0
Hele landet;111 år;Gift/separeret;2021K1;0
Hele landet;111 år;Ugift;2021K1;0
Hele landet;112 år;Gift/separeret;2021K1;0
Hele landet;112 år;Ugift;2021K1;0
Hele landet;113 år;Gift/separeret;2021K1;0
Hele landet;113 år;Ugift;2021K1;0
Hele landet;114 år;Gift/separeret;2021K1;0
Hele landet;114 år;Ugift;2021K1;0
Hele landet;115 år;Gift/separeret;2021K1;0
Hele landet;115 år;Ugift;2021K1;0
Hele landet;116 år;Gift/separeret;2021K1;0
Hele landet;116 år;Ugift;2021K1;0
Hele landet;117 år;Gift/separeret;2021K1;0
Hele landet;117 år;Ugift;2021K1;0
Hele landet;118 år;Gift/separeret;2021K1;0
Hele landet;118 år;Ugift;2021K1;0
Hele landet;119 år;Gift/separeret;2021K1;0
Hele landet;119 år;Ugift;2021K1;0
Hele landet;120 år;Gift/separeret;2021K1;0
Hele landet;120 år;Ugift;2021K1;0
Hele landet;121 år;Gift/separeret;2021K1;0
Hele landet;121 år;Ugift;2021K1;0
Hele landet;122 år;Gift/separeret;2021K1;0
Hele landet;122 år;Ugift;2021K1;0
Hele landet;123 år;Gift/separeret;2021K1;0
Hele landet;123 år;Ugift;2021K1;0
Hele landet;124 år;Gift/separeret;2021K1;0
Hele landet;124 år;Ugift;2021K1;0
Hele landet;125 år;Gift/separeret;2021K1;0
Hele landet;125 år;Ugift;2021K1;0
